"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Services","Dollars","81","millions","6","v62305729","1.1.1.7","655394","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Services","Dollars","81","millions","6","v62305729","1.1.1.7","660711","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Services","Dollars","81","millions","6","v62305729","1.1.1.7","636354","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Services","Dollars","81","millions","6","v62305729","1.1.1.7","530245","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62305730","1.1.1.8","30280","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62305730","1.1.1.8","30348","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62305730","1.1.1.8","30560","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62305730","1.1.1.8","30252","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-profit institutions serving households' final consumption expenditure","Dollars","81","millions","6","v62305730","1.1.1.8","26636","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","General governments final consumption expenditure","Dollars","81","millions","6","v62305731","1.1.1.9","425614","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","General governments final consumption expenditure","Dollars","81","millions","6","v62305731","1.1.1.9","427277","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","General governments final consumption expenditure","Dollars","81","millions","6","v62305731","1.1.1.9","428867","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","General governments final consumption expenditure","Dollars","81","millions","6","v62305731","1.1.1.9","427653","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","General governments final consumption expenditure","Dollars","81","millions","6","v62305731","1.1.1.9","416091","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross fixed capital formation","Dollars","81","millions","6","v62305732","1.1.1.10","434037","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross fixed capital formation","Dollars","81","millions","6","v62305732","1.1.1.10","441849","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross fixed capital formation","Dollars","81","millions","6","v62305732","1.1.1.10","439158","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross fixed capital formation","Dollars","81","millions","6","v62305732","1.1.1.10","437942","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Gross fixed capital formation","Dollars","81","millions","6","v62305732","1.1.1.10","376060","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Business gross fixed capital formation","Dollars","81","millions","6","v62305733","1.1.1.11","354805","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Business gross fixed capital formation","Dollars","81","millions","6","v62305733","1.1.1.11","360917","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Business gross fixed capital formation","Dollars","81","millions","6","v62305733","1.1.1.11","358534","","","","0"
